"Company","Email","Phone","Category","Why They'd Buy","Priority"
"Stallion Paving","admin@stallionpaving.com","(512) 200-3126","Concrete/Paving","Foundations, paving, site work. Commercial permits = foundation and paving contracts.","HIGH"
"Patriot Erectors","contact@patrioterectors.com","(512) 858-9100","Steel Fabrication","AISC certified steel erector and fabricator since 1991. Commercial permits = structural steel needs.","MEDIUM"
"Tex Painting","admin@texpainting.com","(512) 298-2050","Painting Subcontractor","15+ years residential and commercial painting. New builds and remodels = painting contracts.","MEDIUM"
"Venditti Demolition","Info@VendittiLLC.com","(512) 430-0973","Demolition/Excavation","Demo and excavation for commercial and residential. Permit data = upcoming site prep work.","MEDIUM"
"Allied Fence & Security","Contact@AlliedFenceAndSecurity.com","(512) 255-5416","Fence Subcontractor","Austin's fence company since 1950. Commercial and residential fencing. New builds = fence installs.","MEDIUM"
"Austin Glass & Mirror","info@austinglass.com","(512) 928-9999","Glass/Glazing","Commercial glazing since 1984. Low to mid-rise projects. Commercial permits = glazing contracts.","MEDIUM"
"Floor Masters ATX","info@floormastersatx.com","(512) 865-4934","Flooring Subcontractor","Full-service flooring since 2003. Hardwood, tile, stone. New builds and remodels = flooring installs.","MEDIUM"
"Binswanger Glass","branch019@binswangerglass.com","(512) 454-7755","Glass/Glazing","National glass company, local Austin branch. Commercial and residential glass services.","MEDIUM"
"EmpireWorks","sruiz@empireworks.com","(512) 364-6935","Roofing Subcontractor","Commercial roofing contractor. Re-roof and new construction permits = roofing bids.","MEDIUM"
"BEC Austin","info@becaustin.com","(512) 327-3951","General Contractor","Commercial GC. Multifamily, office, retail projects. May want competitor permit tracking.","MEDIUM"
"Apple Fence Company","info@applefenceaustin.com","(512) 680-2742","Fence Subcontractor","Commercial and residential fencing in Leander/Austin. New subdivision permits = fence contracts.","LOW"
"Reliant Plumbing","service@reliantplumbing.com","","Plumbing Subcontractor","Austin plumbing company. Residential and commercial. New permits = plumbing opportunities.","LOW"
"Welding Austin","kyle@weldingaustin.com","(512) 940-9353","Metal Fabrication","Custom metal fabrication and welding. Commercial permits = specialty metalwork.","LOW"
"Reconstruction Experts","Matt.Pullin@reconexp.com","(512) 568-7024","Roofing Subcontractor","Storm damage and re-roofing specialist. Re-roof permits = bid opportunities.","LOW"
